video_id,sign_label,class_idx,signer_id,split,video_path,frame_count,duration_sec,file_size_mb
5731,before,0,4,train,data\raw\videos\05731.mp4,0,0.0,0.6587
5739,before,0,10,train,data\raw\videos\05739.mp4,0,0.0,0.0474
5740,before,0,10,train,data\raw\videos\05740.mp4,0,0.0,0.0448
5741,before,0,11,train,data\raw\videos\05741.mp4,0,0.0,0.0242
5742,before,0,11,train,data\raw\videos\05742.mp4,0,0.0,0.0248
5743,before,0,11,train,data\raw\videos\05743.mp4,0,0.0,0.0492
5732,before,0,13,train,data\raw\videos\05732.mp4,0,0.0,0.5365
5733,before,0,13,train,data\raw\videos\05733.mp4,0,0.0,0.6909
5734,before,0,13,train,data\raw\videos\05734.mp4,0,0.0,0.5684
5728,before,0,32,train,data\raw\videos\05728.mp4,0,0.0,0.5575
5730,before,0,32,train,data\raw\videos\05730.mp4,0,0.0,0.391
5729,before,0,46,train,data\raw\videos\05729.mp4,0,0.0,0.5791
65167,before,0,88,train,data\raw\videos\65167.mp4,0,0.0,0.1807
6363,birthday,1,11,train,data\raw\videos\06363.mp4,0,0.0,0.0663
6365,birthday,1,11,train,data\raw\videos\06365.mp4,0,0.0,0.0756
6360,birthday,1,59,train,data\raw\videos\06360.mp4,0,0.0,0.5579
65192,birthday,1,90,train,data\raw\videos\65192.mp4,0,0.0,0.2845
6473,black,2,4,train,data\raw\videos\06473.mp4,0,0.0,0.7169
6476,black,2,11,train,data\raw\videos\06476.mp4,0,0.0,0.0288
6477,black,2,11,train,data\raw\videos\06477.mp4,0,0.0,0.0236
6478,black,2,11,train,data\raw\videos\06478.mp4,0,0.0,0.0451
6474,black,2,59,train,data\raw\videos\06474.mp4,0,0.0,0.503
65200,black,2,90,train,data\raw\videos\65200.mp4,0,0.0,0.2464
69236,black,2,118,train,data\raw\videos\69236.mp4,0,0.0,2.4808
6832,blue,3,8,train,data\raw\videos\06832.mp4,0,0.0,0.0513
6839,blue,3,10,train,data\raw\videos\06839.mp4,0,0.0,0.0287
6834,blue,3,46,train,data\raw\videos\06834.mp4,0,0.0,0.2903
6835,blue,3,59,train,data\raw\videos\06835.mp4,0,0.0,0.4986
65216,blue,3,90,train,data\raw\videos\65216.mp4,0,0.0,0.2655
69238,blue,3,118,train,data\raw\videos\69238.mp4,0,0.0,2.6194
7074,book,4,11,train,data\raw\videos\07074.mp4,0,0.0,0.0369
7069,book,4,31,train,data\raw\videos\07069.mp4,0,0.0,0.2102
7070,book,4,59,train,data\raw\videos\07070.mp4,0,0.0,0.567
69241,book,4,118,train,data\raw\videos\69241.mp4,0,0.0,2.8728
7452,boy,5,2,train,data\raw\videos\07452.mp4,0,0.0,0.1198
7458,boy,5,11,train,data\raw\videos\07458.mp4,0,0.0,0.0255
7455,boy,5,59,train,data\raw\videos\07455.mp4,0,0.0,0.5464
65245,boy,5,90,train,data\raw\videos\65245.mp4,0,0.0,0.311
69245,boy,5,118,train,data\raw\videos\69245.mp4,0,0.0,2.8613
8942,can,6,11,train,data\raw\videos\08942.mp4,0,0.0,0.0403
8944,can,6,11,train,data\raw\videos\08944.mp4,0,0.0,0.0347
8937,can,6,59,train,data\raw\videos\08937.mp4,0,0.0,0.5665
8938,can,6,59,train,data\raw\videos\08938.mp4,0,0.0,0.3601
65294,can,6,90,train,data\raw\videos\65294.mp4,0,0.0,0.1549
69257,can,6,118,train,data\raw\videos\69257.mp4,0,0.0,2.3663
8919,candy,7,4,train,data\raw\videos\08919.mp4,0,0.0,0.8763
8920,candy,7,4,train,data\raw\videos\08920.mp4,0,0.0,0.7638
8924,candy,7,11,train,data\raw\videos\08924.mp4,0,0.0,0.0244
8925,candy,7,11,train,data\raw\videos\08925.mp4,0,0.0,0.0361
8917,candy,7,39,train,data\raw\videos\08917.mp4,0,0.0,0.5075
8918,candy,7,39,train,data\raw\videos\08918.mp4,0,0.0,0.4468
65300,candy,7,89,train,data\raw\videos\65300.mp4,0,0.0,0.1519
65298,candy,7,90,train,data\raw\videos\65298.mp4,0,0.0,0.1389
65299,candy,7,90,train,data\raw\videos\65299.mp4,0,0.0,0.1518
9848,chair,8,0,train,data\raw\videos\09848.mp4,0,0.0,0.1119
9854,chair,8,11,train,data\raw\videos\09854.mp4,0,0.0,0.0315
9850,chair,8,31,train,data\raw\videos\09850.mp4,0,0.0,0.4741
9851,chair,8,59,train,data\raw\videos\09851.mp4,0,0.0,0.5723
65328,chair,8,90,train,data\raw\videos\65328.mp4,0,0.0,0.178
9950,change,9,2,train,data\raw\videos\09950.mp4,0,0.0,0.1365
9963,change,9,11,train,data\raw\videos\09963.mp4,0,0.0,0.052
9966,change,9,11,train,data\raw\videos\09966.mp4,0,0.0,0.0658
9967,change,9,11,train,data\raw\videos\09967.mp4,0,0.0,0.0417
9960,change,9,13,train,data\raw\videos\09960.mp4,0,0.0,0.6873
9954,change,9,31,train,data\raw\videos\09954.mp4,0,0.0,0.4364
9956,change,9,31,train,data\raw\videos\09956.mp4,0,0.0,0.4122
9955,change,9,52,train,data\raw\videos\09955.mp4,0,0.0,0.2527
9957,change,9,59,train,data\raw\videos\09957.mp4,0,0.0,0.6227
9949,change,9,66,train,data\raw\videos\09949.mp4,0,0.0,0.2334
11313,clothes,10,11,train,data\raw\videos\11313.mp4,0,0.0,0.0335
11311,clothes,10,59,train,data\raw\videos\11311.mp4,0,0.0,0.5842
11769,color,11,4,train,data\raw\videos\11769.mp4,0,0.0,0.5796
11772,color,11,11,train,data\raw\videos\11772.mp4,0,0.0,0.0756
11773,color,11,11,train,data\raw\videos\11773.mp4,0,0.0,0.0515
11770,color,11,59,train,data\raw\videos\11770.mp4,0,0.0,0.5901
69274,color,11,116,train,data\raw\videos\69274.mp4,0,0.0,1.0146
12314,computer,12,4,train,data\raw\videos\12314.mp4,0,0.0,0.5269
12315,computer,12,4,train,data\raw\videos\12315.mp4,0,0.0,0.7662
12316,computer,12,4,train,data\raw\videos\12316.mp4,0,0.0,0.497
12317,computer,12,4,train,data\raw\videos\12317.mp4,0,0.0,0.5932
12318,computer,12,4,train,data\raw\videos\12318.mp4,0,0.0,0.5241
12326,computer,12,11,train,data\raw\videos\12326.mp4,0,0.0,0.0737
12327,computer,12,11,train,data\raw\videos\12327.mp4,0,0.0,0.0407
12328,computer,12,11,train,data\raw\videos\12328.mp4,0,0.0,0.0908
12319,computer,12,45,train,data\raw\videos\12319.mp4,0,0.0,0.4408
12320,computer,12,59,train,data\raw\videos\12320.mp4,0,0.0,0.688
13640,cousin,13,11,train,data\raw\videos\13640.mp4,0,0.0,0.0557
13641,cousin,13,11,train,data\raw\videos\13641.mp4,0,0.0,0.0366
13642,cousin,13,11,train,data\raw\videos\13642.mp4,0,0.0,0.0325
13630,cousin,13,35,train,data\raw\videos\13630.mp4,0,0.0,0.1136
13634,cousin,13,59,train,data\raw\videos\13634.mp4,0,0.0,0.5893
13635,cousin,13,59,train,data\raw\videos\13635.mp4,0,0.0,0.6595
13636,cousin,13,59,train,data\raw\videos\13636.mp4,0,0.0,0.7245
13633,cousin,13,60,train,data\raw\videos\13633.mp4,0,0.0,0.2519
17709,drink,14,2,train,data\raw\videos\17709.mp4,0,0.0,0.087
17712,drink,14,6,train,data\raw\videos\17712.mp4,0,0.0,0.6052
17721,drink,14,10,train,data\raw\videos\17721.mp4,0,0.0,0.0431
17722,drink,14,10,train,data\raw\videos\17722.mp4,0,0.0,0.0431
17723,drink,14,10,train,data\raw\videos\17723.mp4,0,0.0,0.0569
17720,drink,14,11,train,data\raw\videos\17720.mp4,0,0.0,0.0358
17724,drink,14,11,train,data\raw\videos\17724.mp4,0,0.0,0.0265
17713,drink,14,21,train,data\raw\videos\17713.mp4,0,0.0,0.5919
17711,drink,14,52,train,data\raw\videos\17711.mp4,0,0.0,0.1669
18323,eat,15,0,train,data\raw\videos\18323.mp4,0,0.0,0.0867
